target_d,method,variable,station_id,zone,mae,rmse,smape,hit10,total_relative_error,share_l1
7,model,return,S002,Educational (文教科研区),2.4583333333333335,3.142451272494134,0.4460193540160445,0.25,0.043824701195219126,0.24272908366533863
7,model,combined,S002,Educational (文教科研区),2.3333333333333335,2.908321394435858,0.491527340709218,0.25,0.012,0.22158102766798418
7,base1,borrow,S003,Educational (文教科研区),2.0833333333333335,2.565800719723442,0.4881187498407178,0.2916666666666667,0.05263157894736842,0.19757727652464493
7,base1,return,S003,Educational (文教科研区),2.9166666666666665,4.301162633521313,0.2901195460324924,0.2916666666666667,0.09774436090225563,0.24812030075187969
7,base1,combined,S003,Educational (文教科研区),2.5,3.541421560145963,0.3891191479366051,0.2916666666666667,0.07518796992481203,0.22577785928235222
7,base2,borrow,S003,Educational (文教科研区),1.9583333333333333,2.4579802006254377,0.4852744479926819,0.3333333333333333,0.05639097744360902,0.18051103855255668
7,base2,return,S003,Educational (文教科研区),2.4166666666666665,3.452052529534663,0.44804970584040354,0.25,0.08270676691729323,0.2125600887464563
7,base2,combined,S003,Educational (文教科研区),2.1875,2.996525766060867,0.46666207691654266,0.2916666666666667,0.06954887218045112,0.19722791828054986
7,model,borrow,S003,Educational (文教科研区),2.0416666666666665,2.508319490548735,0.4842298609518289,0.2916666666666667,0.04887218045112782,0.19290320663318372
7,model,return,S003,Educational (文教科研区),2.625,3.9104560688833554,0.26809723420012244,0.2916666666666667,0.09398496240601503,0.2190746575983527
7,model,combined,S003,Educational (文教科研区),2.3333333333333335,3.2850672240711707,0.37616354757597564,0.2916666666666667,0.07142857142857142,0.20936957779063042
7,base1,borrow,S004,Educational (文教科研区),0.7916666666666666,1.3070322617798436,0.14801172525810205,0.75,0.004291845493562232,0.08345255126371001
7,base1,return,S004,Educational (文教科研区),2.2083333333333335,3.4460121880225554,0.5806720782851986,0.4583333333333333,0.12272727272727273,0.2740522635259477
7,base1,combined,S004,Educational (文教科研区),1.5,2.6060826285186485,0.3643419017716503,0.6041666666666666,0.06181015452538632,0.17911543739358307
7,base2,borrow,S004,Educational (文教科研区),1.5833333333333333,1.9790570145063195,0.38933961668403266,0.4166666666666667,0.07725321888412018,0.132619735649676
7,base2,return,S004,Educational (文教科研区),2.0833333333333335,2.692582403567252,0.5676552860099041,0.25,0.10909090909090909,0.18852459016393444
